window_start,window_stop,window_center,window_size,prime_count,pre_boundary_count,post_boundary_count,boundary_imbalance,boundary_abs_imbalance,lane13_count,lane17_count,reflection_gap_13_17,reflection_abs_gap_13_17,reflection_ratio_13_17,boundary_pressure,reflection_pressure,lane_01,lane_07,lane_11,lane_13,lane_17,lane_19,lane_23,lane_29,leader_lane,leader_count
43201,46200,44700.5,3000,270,139,131,8,8,35,38,-3,3,0.9210526315789473,0.02962962962962963,0.0410958904109589,38,29,37,35,38,27,34,32,01,38
43501,46500,45000.5,3000,272,140,132,8,8,36,37,-1,1,0.972972972972973,0.029411764705882353,0.0136986301369863,38,31,35,36,37,31,30,34,01,38
43801,46800,45300.5,3000,271,138,133,5,5,35,35,0,0,1.0,0.01845018450184502,0.0,38,31,34,35,35,28,31,39,29,39
44101,47100,45600.5,3000,269,136,133,3,3,34,37,-3,3,0.918918918918919,0.011152416356877323,0.04225352112676056,36,32,34,34,37,26,29,41,29,41
44401,47400,45900.5,3000,269,133,136,-3,3,33,39,-6,6,0.8461538461538461,0.011152416356877323,0.08333333333333333,34,34,32,33,39,26,30,41,29,41
44701,47700,46200.5,3000,270,134,136,-2,2,33,37,-4,4,0.8918918918918919,0.007407407407407408,0.05714285714285714,36,33,32,33,37,30,28,41,29,41
45001,48000,46500.5,3000,271,137,134,3,3,31,37,-6,6,0.8378378378378378,0.01107011070110701,0.08823529411764706,37,36,33,31,37,30,29,38,29,38
45301,48300,46800.5,3000,271,138,133,5,5,33,36,-3,3,0.9166666666666666,0.01845018450184502,0.043478260869565216,37,36,32,33,36,31,25,41,29,41
45601,48600,47100.5,3000,272,138,134,4,4,31,35,-4,4,0.8857142857142857,0.014705882352941176,0.06060606060606061,37,36,34,31,35,30,29,40,29,40
45901,48900,47400.5,3000,275,139,136,3,3,30,33,-3,3,0.9090909090909091,0.01090909090909091,0.047619047619047616,37,36,36,30,33,36,27,40,29,40
46201,49200,47700.5,3000,277,138,139,-1,1,30,35,-5,5,0.8571428571428571,0.0036101083032490976,0.07692307692307693,36,38,34,30,35,35,27,42,29,42
46501,49500,48000.5,3000,280,139,141,-2,2,32,35,-3,3,0.9142857142857143,0.007142857142857143,0.04477611940298507,33,38,36,32,35,35,31,40,29,40
46801,49800,48300.5,3000,279,136,143,-7,7,32,39,-7,7,0.8205128205128205,0.025089605734767026,0.09859154929577464,34,38,32,32,39,37,30,37,17,39
47101,50100,48600.5,3000,285,142,143,-1,1,34,37,-3,3,0.918918918918919,0.0035087719298245615,0.04225352112676056,35,39,34,34,37,37,33,36,07,39
47401,50400,48900.5,3000,285,145,140,5,5,33,36,-3,3,0.9166666666666666,0.017543859649122806,0.043478260869565216,37,39,36,33,36,36,35,33,07,39
47701,50700,49200.5,3000,280,145,135,10,10,32,35,-3,3,0.9142857142857143,0.03571428571428571,0.04477611940298507,37,40,36,32,35,33,36,31,07,40
48001,51000,49500.5,3000,276,141,135,6,6,34,34,0,0,1.0,0.021739130434782608,0.0,35,37,35,34,34,33,36,32,07,37
48301,51300,49800.5,3000,278,142,136,6,6,35,37,-2,2,0.9459459459459459,0.02158273381294964,0.027777777777777776,37,36,34,35,37,33,37,29,01,37
48601,51600,50100.5,3000,282,145,137,8,8,33,36,-3,3,0.9166666666666666,0.028368794326241134,0.043478260869565216,38,38,36,33,36,33,36,32,01,38
48901,51900,50400.5,3000,281,140,141,-1,1,32,36,-4,4,0.8888888888888888,0.0035587188612099642,0.058823529411764705,38,38,32,32,36,31,39,35,23,39
49201,52200,50700.5,3000,280,144,136,8,8,32,36,-4,4,0.8888888888888888,0.02857142857142857,0.058823529411764705,39,39,34,32,36,33,37,30,01,39
49501,52500,51000.5,3000,273,140,133,7,7,31,34,-3,3,0.9117647058823529,0.02564102564102564,0.046153846153846156,39,38,32,31,34,31,37,31,01,39
49801,52800,51300.5,3000,275,142,133,9,9,29,33,-4,4,0.8787878787878788,0.03272727272727273,0.06451612903225806,38,37,38,29,33,30,39,31,23,39
50101,53100,51600.5,3000,274,138,136,2,2,28,34,-6,6,0.8235294117647058,0.0072992700729927005,0.0967741935483871,37,38,35,28,34,31,38,33,07,38
50401,53400,51900.5,3000,272,137,135,2,2,31,34,-3,3,0.9117647058823529,0.007352941176470588,0.046153846153846156,35,37,34,31,34,33,33,35,07,37
50701,53700,52200.5,3000,277,137,140,-3,3,32,35,-3,3,0.9142857142857143,0.010830324909747292,0.04477611940298507,34,37,34,32,35,35,33,37,07,37
51001,54000,52500.5,3000,278,137,141,-4,4,30,37,-7,7,0.8108108108108109,0.014388489208633094,0.1044776119402985,35,37,35,30,37,35,32,37,07,37
51301,54300,52800.5,3000,275,139,136,3,3,30,34,-4,4,0.8823529411764706,0.01090909090909091,0.0625,35,38,36,30,34,33,32,37,07,38
51601,54600,53100.5,3000,275,139,136,3,3,32,35,-3,3,0.9142857142857143,0.01090909090909091,0.04477611940298507,35,37,35,32,35,36,31,34,07,37
51901,54900,53400.5,3000,271,139,132,7,7,30,34,-4,4,0.8823529411764706,0.025830258302583026,0.0625,35,37,37,30,34,36,31,31,07,37
52201,55200,53700.5,3000,269,133,136,-3,3,27,33,-6,6,0.8181818181818182,0.011152416356877323,0.1,34,36,36,27,33,36,33,34,07,36
52501,55500,54000.5,3000,273,133,140,-7,7,28,36,-8,8,0.7777777777777778,0.02564102564102564,0.125,37,34,34,28,36,37,32,35,01,37
52801,55800,54300.5,3000,273,133,140,-7,7,29,35,-6,6,0.8285714285714286,0.02564102564102564,0.09375,38,32,34,29,35,37,32,36,01,38
53101,56100,54600.5,3000,275,135,140,-5,5,31,35,-4,4,0.8857142857142857,0.01818181818181818,0.06060606060606061,37,31,36,31,35,36,31,38,29,38
53401,56400,54900.5,3000,273,131,142,-11,11,29,34,-5,5,0.8529411764705882,0.040293040293040296,0.07936507936507936,37,32,33,29,34,38,34,36,19,38
53701,56700,55200.5,3000,275,131,144,-13,13,29,35,-6,6,0.8285714285714286,0.04727272727272727,0.09375,38,31,33,29,35,40,35,34,19,40
54001,57000,55500.5,3000,282,137,145,-8,8,32,34,-2,2,0.9411764705882353,0.028368794326241134,0.030303030303030304,40,32,33,32,34,41,38,32,19,41
54301,57300,55800.5,3000,288,136,152,-16,16,33,36,-3,3,0.9166666666666666,0.05555555555555555,0.043478260869565216,37,31,35,33,36,41,39,36,19,41
54601,57600,56100.5,3000,279,130,149,-19,19,32,37,-5,5,0.8648648648648649,0.06810035842293907,0.07246376811594203,36,32,30,32,37,39,38,35,19,39
54901,57900,56400.5,3000,284,134,150,-16,16,33,35,-2,2,0.9428571428571428,0.056338028169014086,0.029411764705882353,35,34,32,33,35,40,38,37,19,40
55201,58200,56700.5,3000,288,136,152,-16,16,35,37,-2,2,0.9459459459459459,0.05555555555555555,0.027777777777777776,36,33,32,35,37,39,39,37,19,39
55501,58500,57000.5,3000,290,142,148,-6,6,36,37,-1,1,0.972972972972973,0.020689655172413793,0.0136986301369863,34,36,36,36,37,37,38,36,23,38
55801,58800,57300.5,3000,287,143,144,-1,1,37,36,1,1,1.0277777777777777,0.003484320557491289,0.0136986301369863,33,39,34,37,36,38,37,33,07,39
56101,59100,57600.5,3000,283,140,143,-3,3,36,36,0,0,1.0,0.01060070671378092,0.0,34,36,34,36,36,38,38,31,19,38
56401,59400,57900.5,3000,288,142,146,-4,4,36,36,0,0,1.0,0.013888888888888888,0.0,34,37,35,36,36,36,41,33,23,41
56701,59700,58200.5,3000,287,142,145,-3,3,34,36,-2,2,0.9444444444444444,0.010452961672473868,0.02857142857142857,33,39,36,34,36,35,41,33,23,41
57001,60000,58500.5,3000,275,136,139,-3,3,32,34,-2,2,0.9411764705882353,0.01090909090909091,0.030303030303030304,30,38,36,32,34,34,37,34,07,38
57301,60300,58800.5,3000,274,135,139,-4,4,31,35,-4,4,0.8857142857142857,0.014598540145985401,0.06060606060606061,30,39,35,31,35,36,36,32,07,39
57601,60600,59100.5,3000,270,134,136,-2,2,32,33,-1,1,0.9696969696969697,0.007407407407407408,0.015384615384615385,28,38,36,32,33,34,36,33,07,38
57901,60900,59400.5,3000,271,134,137,-3,3,34,36,-2,2,0.9444444444444444,0.01107011070110701,0.02857142857142857,29,36,35,34,36,33,34,34,07,36
58201,61200,59700.5,3000,266,136,130,6,6,34,34,0,0,1.0,0.022556390977443608,0.0,29,36,37,34,34,33,32,31,11,37
58501,61500,60000.5,3000,264,133,131,2,2,33,31,2,2,1.064516129032258,0.007575757575757576,0.03125,31,35,34,33,31,32,37,31,23,37
58801,61800,60300.5,3000,267,133,134,-1,1,32,32,0,0,1.0,0.003745318352059925,0.0,31,36,34,32,32,31,40,31,23,40
59101,62100,60600.5,3000,267,137,130,7,7,32,30,2,2,1.0666666666666667,0.026217228464419477,0.03225806451612903,32,39,34,32,30,32,37,31,07,39
59401,62400,60900.5,3000,261,138,123,15,15,33,30,3,3,1.1,0.05747126436781609,0.047619047619047616,32,37,36,33,30,29,34,30,07,37
59701,62700,61200.5,3000,258,135,123,12,12,36,32,4,4,1.125,0.046511627906976744,0.058823529411764705,31,35,33,36,32,26,34,31,13,36
60001,63000,61500.5,3000,263,137,126,11,11,36,33,3,3,1.0909090909090908,0.04182509505703422,0.043478260869565216,35,33,33,36,33,26,36,31,13,36
60301,63300,61800.5,3000,256,136,120,16,16,34,29,5,5,1.1724137931034482,0.0625,0.07936507936507936,36,35,31,34,29,24,35,32,01,36
60601,63600,62100.5,3000,269,142,127,15,15,34,32,2,2,1.0625,0.055762081784386616,0.030303030303030304,40,36,32,34,32,28,35,32,01,40
60901,63900,62400.5,3000,270,142,128,14,14,34,32,2,2,1.0625,0.05185185185185185,0.030303030303030304,40,36,32,34,32,27,37,32,01,40
61201,64200,62700.5,3000,270,139,131,8,8,36,36,0,0,1.0,0.02962962962962963,0.0,39,35,29,36,36,26,35,34,01,39
61501,64500,63000.5,3000,267,136,131,5,5,37,36,1,1,1.0277777777777777,0.018726591760299626,0.0136986301369863,35,34,30,37,36,28,33,34,13,37
61801,64800,63300.5,3000,262,135,127,8,8,39,34,5,5,1.1470588235294117,0.030534351145038167,0.0684931506849315,34,33,29,39,34,27,31,35,13,39
62101,65100,63600.5,3000,261,128,133,-5,5,36,37,-1,1,0.972972972972973,0.019157088122605363,0.0136986301369863,35,29,28,36,37,29,34,33,17,37
62401,65400,63900.5,3000,265,129,136,-7,7,37,38,-1,1,0.9736842105263158,0.026415094339622643,0.013333333333333334,34,30,28,37,38,31,35,32,17,38
62701,65700,64200.5,3000,269,131,138,-7,7,34,36,-2,2,0.9444444444444444,0.026022304832713755,0.02857142857142857,35,35,27,34,36,35,34,33,17,36
63001,66000,64500.5,3000,271,130,141,-11,11,33,39,-6,6,0.8461538461538461,0.04059040590405904,0.08333333333333333,34,36,27,33,39,37,33,32,17,39
63301,66300,64800.5,3000,271,127,144,-17,17,32,41,-9,9,0.7804878048780488,0.06273062730627306,0.1232876712328767,32,33,30,32,41,37,35,31,17,41
63601,66600,65100.5,3000,266,126,140,-14,14,35,39,-4,4,0.8974358974358975,0.05263157894736842,0.05405405405405406,31,30,30,35,39,34,35,32,17,39
63901,66900,65400.5,3000,260,126,134,-8,8,36,37,-1,1,0.972972972972973,0.03076923076923077,0.0136986301369863,31,28,31,36,37,33,35,29,17,37
64201,67200,65700.5,3000,265,126,139,-13,13,36,35,1,1,1.0285714285714285,0.04905660377358491,0.014084507042253521,31,27,32,36,35,35,38,31,23,38
64501,67500,66000.5,3000,272,128,144,-16,16,35,38,-3,3,0.9210526315789473,0.058823529411764705,0.0410958904109589,32,27,34,35,38,38,36,32,17,38
64801,67800,66300.5,3000,276,126,150,-24,24,32,40,-8,8,0.8,0.08695652173913043,0.1111111111111111,33,26,35,32,40,40,35,35,17,40
65101,68100,66600.5,3000,278,133,145,-12,12,36,37,-1,1,0.972972972972973,0.04316546762589928,0.0136986301369863,32,30,35,36,37,38,34,36,19,38
65401,68400,66900.5,3000,271,130,141,-11,11,32,35,-3,3,0.9142857142857143,0.04059040590405904,0.04477611940298507,34,28,36,32,35,38,31,37,19,38
65701,68700,67200.5,3000,266,126,140,-14,14,33,37,-4,4,0.8918918918918919,0.05263157894736842,0.05714285714285714,35,21,37,33,37,35,31,37,11,37
66001,69000,67500.5,3000,263,126,137,-11,11,34,34,0,0,1.0,0.04182509505703422,0.0,33,23,36,34,34,32,32,39,29,39
66301,69300,67800.5,3000,268,130,138,-8,8,36,33,3,3,1.0909090909090908,0.029850746268656716,0.043478260869565216,36,24,34,36,33,33,33,39,29,39
66601,69600,68100.5,3000,265,129,136,-7,7,34,33,1,1,1.0303030303030303,0.026415094339622643,0.014925373134328358,33,25,37,34,33,34,32,37,11,37
66901,69900,68400.5,3000,262,122,140,-18,18,30,36,-6,6,0.8333333333333334,0.06870229007633588,0.09090909090909091,31,26,35,30,36,36,31,37,29,37
67201,70200,68700.5,3000,262,127,135,-8,8,28,34,-6,6,0.8235294117647058,0.030534351145038167,0.0967741935483871,33,28,38,28,34,35,28,38,11,38
67501,70500,69000.5,3000,260,128,132,-4,4,27,32,-5,5,0.84375,0.015384615384615385,0.0847457627118644,34,30,37,27,32,34,28,38,29,38
67801,70800,69300.5,3000,257,129,128,1,1,29,30,-1,1,0.9666666666666667,0.0038910505836575876,0.01694915254237288,33,33,34,29,30,33,27,38,29,38
68101,71100,69600.5,3000,259,125,134,-9,9,26,31,-5,5,0.8387096774193549,0.03474903474903475,0.08771929824561403,34,30,35,26,31,36,27,40,29,40
68401,71400,69900.5,3000,269,129,140,-11,11,30,33,-3,3,0.9090909090909091,0.040892193308550186,0.047619047619047616,33,34,32,30,33,37,29,41,29,41
68701,71700,70200.5,3000,269,132,137,-5,5,33,29,4,4,1.1379310344827587,0.01858736059479554,0.06451612903225806,31,36,32,33,29,37,31,40,29,40
69001,72000,70500.5,3000,274,133,141,-8,8,32,31,1,1,1.032258064516129,0.029197080291970802,0.015873015873015872,33,36,32,32,31,38,31,41,29,41
69301,72300,70800.5,3000,276,134,142,-8,8,34,34,0,0,1.0,0.028985507246376812,0.0,33,34,33,34,34,40,29,39,19,40
69601,72600,71100.5,3000,273,134,139,-5,5,32,32,0,0,1.0,0.018315018315018316,0.0,34,36,32,32,32,40,30,37,19,40
69901,72900,71400.5,3000,278,139,139,0,0,38,32,6,6,1.1875,0.0,0.08571428571428572,34,35,32,38,32,41,29,37,19,41
70201,73200,71700.5,3000,277,135,142,-7,7,37,33,4,4,1.121212121212121,0.02527075812274368,0.05714285714285714,32,35,31,37,33,42,33,34,19,42
70501,73500,72000.5,3000,272,137,135,2,2,40,32,8,8,1.25,0.007352941176470588,0.1111111111111111,31,36,30,40,32,40,31,32,13,40
70801,73800,72300.5,3000,275,134,141,-7,7,38,36,2,2,1.0555555555555556,0.025454545454545455,0.02702702702702703,33,31,32,38,36,39,35,31,19,39
71101,74100,72600.5,3000,270,131,139,-8,8,36,37,-1,1,0.972972972972973,0.02962962962962963,0.0136986301369863,30,34,31,36,37,37,37,28,17,37
71401,74400,72900.5,3000,268,135,133,2,2,37,36,1,1,1.0277777777777777,0.007462686567164179,0.0136986301369863,31,35,32,37,36,34,35,28,13,37
71701,74700,73200.5,3000,267,135,132,3,3,34,38,-4,4,0.8947368421052632,0.011235955056179775,0.05555555555555555,32,34,35,34,38,34,32,28,17,38
72001,75000,73500.5,3000,265,136,129,7,7,34,36,-2,2,0.9444444444444444,0.026415094339622643,0.02857142857142857,31,35,36,34,36,36,32,25,11,36
72301,75300,73800.5,3000,263,135,128,7,7,34,34,0,0,1.0,0.026615969581749048,0.0,29,37,35,34,34,35,31,28,07,37
72601,75600,74100.5,3000,269,136,133,3,3,35,38,-3,3,0.9210526315789473,0.011152416356877323,0.0410958904109589,31,36,34,35,38,32,31,32,17,38
72901,75900,74400.5,3000,268,134,134,0,0,32,37,-5,5,0.8648648648648649,0.0,0.07246376811594203,31,35,36,32,37,30,34,33,17,37
73201,76200,74700.5,3000,265,135,130,5,5,33,35,-2,2,0.9428571428571428,0.018867924528301886,0.029411764705882353,31,36,35,33,35,31,32,32,07,36
73501,76500,75000.5,3000,268,132,136,-4,4,33,36,-3,3,0.9166666666666666,0.014925373134328358,0.043478260869565216,32,33,34,33,36,30,37,33,23,37
73801,76800,75300.5,3000,265,137,128,9,9,34,34,0,0,1.0,0.033962264150943396,0.0,31,37,35,34,34,30,33,31,07,37
74101,77100,75600.5,3000,266,140,126,14,14,37,32,5,5,1.15625,0.05263157894736842,0.07246376811594203,32,35,36,37,32,28,33,33,13,37
74401,77400,75900.5,3000,265,137,128,9,9,34,31,3,3,1.096774193548387,0.033962264150943396,0.046153846153846156,30,34,39,34,31,29,35,33,11,39
74701,77700,76200.5,3000,272,140,132,8,8,32,31,1,1,1.032258064516129,0.029411764705882353,0.015873015873015872,33,37,38,32,31,32,36,33,11,38
75001,78000,76500.5,3000,269,138,131,7,7,36,30,6,6,1.2,0.026022304832713755,0.09090909090909091,31,34,37,36,30,31,36,34,11,37
75301,78300,76800.5,3000,268,137,131,6,6,34,30,4,4,1.1333333333333333,0.022388059701492536,0.0625,32,34,37,34,30,32,38,31,23,38
75601,78600,77100.5,3000,266,138,128,10,10,33,29,4,4,1.1379310344827587,0.03759398496240601,0.06451612903225806,32,36,37,33,29,33,35,31,11,37
75901,78900,77400.5,3000,265,138,127,11,11,32,30,2,2,1.0666666666666667,0.04150943396226415,0.03225806451612903,33,39,34,32,30,32,35,30,07,39
76201,79200,77700.5,3000,263,134,129,5,5,31,31,0,0,1.0,0.019011406844106463,0.0,32,37,34,31,31,31,36,31,07,37
76501,79500,78000.5,3000,264,133,131,2,2,30,33,-3,3,0.9090909090909091,0.007575757575757576,0.047619047619047616,31,36,36,30,33,32,33,33,07,36
76801,79800,78300.5,3000,263,131,132,-1,1,29,31,-2,2,0.9354838709677419,0.0038022813688212928,0.03333333333333333,31,36,35,29,31,35,32,34,07,36
77101,80100,78600.5,3000,266,133,133,0,0,30,34,-4,4,0.8823529411764706,0.0,0.0625,31,36,36,30,34,35,30,34,07,36
77401,80400,78900.5,3000,267,132,135,-3,3,30,36,-6,6,0.8333333333333334,0.011235955056179775,0.09090909090909091,33,36,33,30,36,36,30,33,07,36
77701,80700,79200.5,3000,262,129,133,-4,4,31,38,-7,7,0.8157894736842105,0.015267175572519083,0.10144927536231885,30,35,33,31,38,33,29,33,17,38
78001,81000,79500.5,3000,263,128,135,-7,7,31,39,-8,8,0.7948717948717948,0.026615969581749048,0.11428571428571428,31,35,31,31,39,34,28,34,17,39
78301,81300,79800.5,3000,269,131,138,-7,7,33,40,-7,7,0.825,0.026022304832713755,0.0958904109589041,31,34,33,33,40,32,31,35,17,40
78601,81600,80100.5,3000,267,129,138,-9,9,35,36,-1,1,0.9722222222222222,0.033707865168539325,0.014084507042253521,29,32,33,35,36,35,33,34,17,36
78901,81900,80400.5,3000,268,130,138,-8,8,35,35,0,0,1.0,0.029850746268656716,0.0,26,33,36,35,35,37,29,37,19,37
79201,82200,80700.5,3000,275,135,140,-5,5,38,36,2,2,1.0555555555555556,0.01818181818181818,0.02702702702702703,30,33,34,38,36,38,30,36,13,38
79501,82500,81000.5,3000,276,137,139,-2,2,36,36,0,0,1.0,0.007246376811594203,0.0,31,36,34,36,36,38,31,34,19,38
79801,82800,81300.5,3000,280,137,143,-6,6,36,37,-1,1,0.972972972972973,0.02142857142857143,0.0136986301369863,32,34,35,36,37,38,33,35,19,38
80101,83100,81600.5,3000,274,133,141,-8,8,36,34,2,2,1.0588235294117647,0.029197080291970802,0.02857142857142857,32,34,31,36,34,39,35,33,19,39
80401,83400,81900.5,3000,269,129,140,-11,11,36,35,1,1,1.0285714285714285,0.040892193308550186,0.014084507042253521,32,32,29,36,35,38,34,33,19,38
80701,83700,82200.5,3000,269,131,138,-7,7,37,33,4,4,1.121212121212121,0.026022304832713755,0.05714285714285714,32,33,29,37,33,37,34,34,13,37
81001,84000,82500.5,3000,265,130,135,-5,5,34,33,1,1,1.0303030303030303,0.018867924528301886,0.014925373134328358,33,33,30,34,33,34,36,32,23,36
81301,84300,82800.5,3000,260,128,132,-4,4,31,32,-1,1,0.96875,0.015384615384615385,0.015873015873015872,34,34,29,31,32,33,33,34,01,34
81601,84600,83100.5,3000,265,127,138,-11,11,30,37,-7,7,0.8108108108108109,0.04150943396226415,0.1044776119402985,35,32,30,30,37,34,33,34,17,37
81901,84900,83400.5,3000,262,127,135,-8,8,29,36,-7,7,0.8055555555555556,0.030534351145038167,0.1076923076923077,40,29,29,29,36,32,34,33,01,40
82201,85200,83700.5,3000,258,125,133,-8,8,26,36,-10,10,0.7222222222222222,0.031007751937984496,0.16129032258064516,38,31,30,26,36,31,32,34,01,38
82501,85500,84000.5,3000,256,126,130,-4,4,30,35,-5,5,0.8571428571428571,0.015625,0.07692307692307693,37,30,29,30,35,30,30,35,01,37
82801,85800,84300.5,3000,254,126,128,-2,2,29,36,-7,7,0.8055555555555556,0.007874015748031496,0.1076923076923077,36,30,31,29,36,28,32,32,01,36
83101,86100,84600.5,3000,253,126,127,-1,1,29,37,-8,8,0.7837837837837838,0.003952569169960474,0.12121212121212122,35,30,32,29,37,29,28,33,17,37
83401,86400,84900.5,3000,263,136,127,9,9,32,35,-3,3,0.9142857142857143,0.034220532319391636,0.04477611940298507,36,31,37,32,35,31,28,33,11,37
83701,86700,85200.5,3000,259,132,127,5,5,31,33,-2,2,0.9393939393939394,0.019305019305019305,0.03125,35,29,37,31,33,34,30,30,11,37
84001,87000,85500.5,3000,260,131,129,2,2,30,32,-2,2,0.9375,0.007692307692307693,0.03225806451612903,32,29,40,30,32,36,30,31,11,40
84301,87300,85800.5,3000,261,136,125,11,11,33,31,2,2,1.064516129032258,0.0421455938697318,0.03125,32,29,42,33,31,35,29,30,11,42
84601,87600,86100.5,3000,260,139,121,18,18,36,29,7,7,1.2413793103448276,0.06923076923076923,0.1076923076923077,33,31,39,36,29,32,30,30,11,39
84901,87900,86400.5,3000,265,142,123,19,19,38,29,9,9,1.3103448275862069,0.07169811320754717,0.13432835820895522,33,31,40,38,29,33,33,28,11,40
85201,88200,86700.5,3000,260,140,120,20,20,40,30,10,10,1.3333333333333333,0.07692307692307693,0.14285714285714285,32,29,39,40,30,31,30,29,13,40
85501,88500,87000.5,3000,256,135,121,14,14,35,30,5,5,1.1666666666666667,0.0546875,0.07692307692307693,33,28,39,35,30,30,31,30,11,39
85801,88800,87300.5,3000,252,133,119,14,14,36,29,7,7,1.2413793103448276,0.05555555555555555,0.1076923076923077,35,27,35,36,29,30,29,31,13,36
86101,89100,87600.5,3000,261,140,121,19,19,38,31,7,7,1.2258064516129032,0.07279693486590039,0.10144927536231885,38,28,36,38,31,28,31,31,01,38
86401,89400,87900.5,3000,254,131,123,8,8,35,30,5,5,1.1666666666666667,0.031496062992125984,0.07692307692307693,35,28,33,35,30,27,36,30,23,36
86701,89700,88200.5,3000,262,135,127,8,8,38,34,4,4,1.1176470588235294,0.030534351145038167,0.05555555555555555,38,26,33,38,34,26,35,32,01,38
87001,90000,88500.5,3000,263,134,129,5,5,39,34,5,5,1.1470588235294117,0.019011406844106463,0.0684931506849315,38,28,29,39,34,28,33,34,13,39
