x,y,window_center
-51.9909949696277,1.179075083718623,1500.5
-42.629711881225184,-1.1217463283864646,1800.5
-40.00072257274881,2.368400944624304,2100.5
-36.91501068939224,-0.19971286000447452,2400.5
-34.60366967274005,2.4157652021835645,2700.5
-32.141352467764186,1.8442266376091896,3000.5
-31.006639853489165,2.014979138980521,3300.5
-29.568009247151284,2.1113006599429616,3600.5
-26.554673236685755,-0.9376843548613587,3900.5
-27.14227971472837,-1.1421758211438149,4200.5
-25.46461026073829,-0.755845843531487,4500.5
-26.66314184490106,0.4525511958540915,4800.5
-24.52617662779235,-2.536434171777568,5100.5
-23.795971321736342,-0.027913473089637594,5400.5
-22.619175188468525,-3.114761981564659,5700.5
-20.819693740953877,-4.4864985657729495,6000.5
-21.212807816317742,-2.5778623698038876,6300.5
-19.963638138241894,-3.4232977901134376,6600.5
-20.524587028111924,-1.6825195752327153,6900.5
-18.717482597569347,-1.7592432953188943,7200.5
-18.7614256797701,-2.3402975362274487,7500.5
-18.073612624976583,-1.7549960758785852,7800.5
-17.746479722320046,-0.15086045418221902,8100.5
-18.28448354568792,-0.9723104687182024,8400.5
-18.170140277193063,-0.412147989756564,8700.5
-18.578037132351586,-0.5967189929027644,9000.5
-16.532970397998355,-0.4356201441115053,9300.5
-16.10101140808095,-0.6714408098645859,9600.5
-15.43157718322231,-2.6620205453523256,9900.5
-13.890370402434886,-2.650348010724332,10200.5
-14.301570465260294,-0.5152498884822599,10500.5
-13.624324405549656,-2.235823305409894,10800.5
-14.033113600530672,-0.6560389434159617,11100.5
-12.297517484673511,-2.9040366759789373,11400.5
-13.552723565766295,-2.5631830881867077,11700.5
-12.762819061028418,-1.1422732002833145,12000.5
-13.126436583633138,-2.6685666710898754,12300.5
-13.03350759905064,-0.45681996749212755,12600.5
-10.672680428543362,3.0603580232000933,12900.5
-12.727740561280722,4.9433302584531615,13200.5
-12.74127647705747,1.200947596209827,13500.5
-12.97711713067176,4.607333582511217,13800.5
-11.77313346085087,4.043120817560849,14100.5
-12.908962597971122,3.8553673926529863,14400.5
-11.429316352302628,6.645836158992226,14700.5
-11.093550151249001,5.620399290358801,15000.5
-9.262748800998205,6.253174119516676,15300.5
-9.923651981206271,3.2600733427839295,15600.5
-11.974300360574873,-0.9081012396752249,15900.5
-10.783219813421569,-1.0284884057611092,16200.5
-9.979623946986381,1.249033707077762,16500.5
-9.747544139373815,0.27159921454404984,16800.5
-10.160502134887997,-2.891824121756315,17100.5
-5.974706623794889,-2.001689368248645,17400.5
-4.161838868209194,-2.562413756796369,17700.5
-6.663835075632179,-4.177564125023093,18000.5
-7.025466189301134,-4.649283651957809,18300.5
-6.652355519785624,-4.438068731010563,18600.5
-8.216794700436045,-0.6040921801567471,18900.5
-6.028820413367395,-0.38376133363335607,19200.5
-5.451940268523129,-4.171094901210952,19500.5
-5.09185101328216,-4.201299231901627,19800.5
-5.899309356238244,-2.590003643185293,20100.5
-8.837312045707083,-2.4900231693175345,20400.5
-11.347492402904638,-2.180597354840631,20700.5
-7.9103130901159675,2.7170405362486454,21000.5
-9.288632343993415,4.8961032814037555,21300.5
-10.004980472513205,7.600359220513462,21600.5
-7.531292222041583,8.606111629621982,21900.5
-9.477630496349876,8.495852255922994,22200.5
-9.766885737127788,8.505003939163819,22500.5
-9.97819117077007,8.458118539942586,22800.5
-7.039929621111096,7.676004675085844,23100.5
-5.041116147366497,8.321726293852542,23400.5
-4.059741158902938,6.67253121326243,23700.5
-5.071786355866245,5.175191919085191,24000.5
-4.30399960943357,1.4885317908676006,24300.5
-2.497426037187819,-2.1849692494113198,24600.5
-4.262397730853609,-2.81574411404717,24900.5
-3.509169058018076,-5.579201405151113,25200.5
-4.186282400461985,-2.3517293770973615,25500.5
-2.915646346013891,0.38964627628833237,25800.5
-2.028864626722112,1.707317714021802,26100.5
-4.680468209093635,3.4541976089313957,26400.5
-4.160371903676628,4.196727382689052,26700.5
-3.4467493322604033,1.1879637663805382,27000.5
-5.637047058156731,3.065745510840916,27300.5
-5.136922441658105,2.0657453209830776,27600.5
-4.895691308134952,0.5944873467779209,27900.5
-4.371162245913412,1.3566588018516519,28200.5
-1.297936369625993,2.075796929951081,28500.5
-1.9748551028850063,-0.19021802545233688,28800.5
-3.4220631644300052,-1.3145111804513459,29100.5
-2.5851802961066386,-3.169509346638192,29400.5
-2.9429811581909173,-5.246702679962517,29700.5
-3.0039750952665747,-3.290870109599625,30000.5
-0.9894628310894654,-1.1303143946379277,30300.5
-0.9389238347746224,1.1207084815843589,30600.5
-0.7284896273755559,2.110594888362308,30900.5
-2.3209770533213696,2.729010747648913,31200.5
-4.737840150969282,-0.30240099962579087,31500.5
-3.2723711683075565,-1.9711969992522358,31800.5
-5.624702338756385,-2.932459806118948,32100.5
-6.234266889444862,-1.915215200219876,32400.5
-3.7775399451398766,-0.040261003283006504,32700.5
-5.468332861036117,2.2269817413754343,33000.5
-5.384588863393238,-0.25140774861994686,33300.5
-5.729132811821085,-1.5360794517174472,33600.5
-4.269557975896553,-2.4140536215256696,33900.5
-2.317641711284992,-2.47346182185115,34200.5
-1.5979439645417757,-1.4857347400920748,34500.5
-2.370932947086795,-2.2238015829360105,34800.5
-0.648596678638231,0.4159907015276257,35100.5
-0.46991669499413524,-0.16312656511791274,35400.5
-2.70913565850994,-0.2895322064663401,35700.5
-0.9171241287932489,-1.751808827143131,36000.5
-1.0586252984686702,-0.5440061152892628,36300.5
-0.38623837933330635,3.055429108720471,36600.5
-0.9885064733461109,-1.2530940156346082,36900.5
-0.7552481906766083,-1.185114504789921,37200.5
-0.9880143803224396,-2.607825487838427,37500.5
-1.3403204657942298,-2.9714061198358173,37800.5
-0.8113903163662508,-5.295475490182975,38100.5
-0.8339548479615246,-7.286333161804869,38400.5
-0.3907188918812455,-9.78737281541537,38700.5
1.0571324639925948,-10.78617828539882,39000.5
3.282558370401844,-10.821999072871307,39300.5
1.5769396325772023,-16.04130908801805,39600.5
0.5310426445121618,-11.804042311213623,39900.5
-1.2851218572982095,-10.926815471490027,40200.5
-1.4764152211083323,-7.825981798866623,40500.5
-1.9416836829271014,-5.329093399103385,40800.5
-3.4626947411636806,-4.884599353825708,41100.5
-3.096712679338212,-3.725051486442576,41400.5
-2.487847535896548,-1.9158706820144544,41700.5
-2.6875413033716713,0.14304462471574036,42000.5
-4.373827952212889,-0.28725306213658863,42300.5
-2.771537414636576,2.1154822861577633,42600.5
-1.7963002922764193,3.0645100565718355,42900.5
-1.2122551638885053,3.536618850112019,43200.5
-0.891130055890697,3.1185835971263405,43500.5
1.4551241497208092,0.9398154471160753,43800.5
2.7479616404050686,3.5914551360882694,44100.5
3.725235975534347,8.160325675409961,44400.5
3.8265754319251086,8.653950502600232,44700.5
3.052724381165687,7.567950867807559,45000.5
3.247626876307968,7.729454970663306,45300.5
3.7402880527320637,9.30912900061557,45600.5
3.62114726065823,8.65933023096654,45900.5
3.4393253697639015,7.5285862122928755,46200.5
3.2377893099886323,5.953752866906761,46500.5
3.0945563779204077,7.041128512800872,46800.5
2.8757412855591764,4.82734393345698,47100.5
2.0010930117595596,1.1792819018516407,47400.5
1.09904266196852,2.087731388302197,47700.5
0.03683059581784754,-0.6092103193009222,48000.5
0.4129491151641653,1.7855413037314392,48300.5
-1.5947962117225245,-0.2650924773503546,48600.5
-1.3772227830786834,-0.8587436223280871,48900.5
0.4225118930103615,-1.0048978934295936,49200.5
1.7392019219161412,-0.9000332179951219,49500.5
1.1197886348906285,1.7069434006847044,49800.5
-0.2974765086688328,0.8627509036347836,50100.5
-0.07949182019961791,1.195922997469671,50400.5
0.49082201493483824,0.5303447445466521,50700.5
2.928507954187618,0.773966460861184,51000.5
2.339519017367141,-1.2307410442567817,51300.5
2.5598788403738717,-1.2111019167472634,51600.5
3.072014924479582,-0.060840448444901295,51900.5
1.220294686872835,-0.543936351276319,52200.5
0.9028961750258406,0.879333439114756,52500.5
1.979072909086133,-0.316533698506031,52800.5
2.06020591166016,-0.177345472148685,53100.5
3.6437901495466996,-1.5368822125022166,53400.5
4.320059344880834,-3.172728351662534,53700.5
2.9037086961756255,0.7935822604260241,54000.5
2.9260938413069786,1.5300107681142794,54300.5
2.0988529557113385,2.516306658038415,54600.5
2.940269523722522,-0.5278501676658832,54900.5
2.3690129483173803,-0.6509659343492243,55200.5
0.026003044248283598,-1.826489356052057,55500.5
-2.3124882447804183,-1.7987221034286003,55800.5
0.7315541258811524,-0.317716235058775,56100.5
-1.0788379706731572,-2.904562455999511,56400.5
-2.5319289112050525,-0.5603871724500176,56700.5
-3.3173491443351693,-1.4073357705094547,57000.5
-2.249899308245057,-3.218144114950635,57300.5
-0.6871819623898381,-2.5143270951418994,57600.5
-2.517044098783023,-2.9751898092837257,57900.5
-2.18611940684476,-4.049218827729482,58200.5
1.9451799451336056,-4.5043925096164275,58500.5
2.3640879954650225,-5.023854715827682,58800.5
3.683651651839545,-5.606178815341125,59100.5
3.206335940497966,-1.1098707609972773,59400.5
5.103063787826072,-1.942394527556583,59700.5
5.946948340295793,-3.6507829259935836,60000.5
4.889263363729306,-4.204736582209693,60300.5
4.915681145291086,-5.257804426389758,60600.5
6.999607446334922,-2.2420777307535347,60900.5
7.822797202534629,1.490929445917544,61200.5
6.208671544893799,3.6421921462009705,61500.5
8.6918760676801,2.3940126306891547,61800.5
4.261501715612863,3.446254419275592,62100.5
3.909171819975192,3.1917952701546723,62400.5
3.6354447958111016,7.399942037725742,62700.5
4.592375611833531,5.896237418024994,63000.5
6.25005409400854,6.409631150415072,63300.5
6.794637869767175,7.216692189362309,63600.5
5.385195432059955,5.8663369459298185,63900.5
4.073787055539261,1.6715566541428055,64200.5
3.349650697495428,1.8079478644672757,64500.5
3.390823999573422,1.730561282853033,64800.5
5.044439635244566,3.1614971864066295,65100.5
7.282957036221399,3.0158492899717633,65400.5
5.591894883179783,0.18289050229546103,65700.5
3.155027039530822,1.251903899829093,66000.5
1.7593956385312708,2.0568904869588107,66300.5
0.8803589034706235,0.7673606649600965,66600.5
3.498016181054148,1.4014804548307191,66900.5
5.26371069414146,6.655933764808778,67200.5
6.150685809487498,4.960290581628437,67500.5
4.455889258700165,5.1058379586511675,67800.5
5.556596968117065,2.574102720036973,68100.5
6.563592944991814,2.040728128852302,68400.5
6.639776869182342,1.9988903266442992,68700.5
7.377734930096159,1.0529349545907023,69000.5
8.30121107606956,0.10592521158707306,69300.5
7.710874377918566,0.08909205030546032,69600.5
3.9687225257516037,-0.5089217004248752,69900.5
3.9528553339516708,-4.478413871869226,70200.5
2.2245483314599825,-3.1028698315766916,70500.5
1.5404287905263299,-0.8588216257651952,70800.5
2.740171301159546,-2.9449900009327,71100.5
0.8846977850185918,-1.62812964883328,71400.5
1.3121143000081719,-4.067583355523105,71700.5
2.9811606728076274,-3.1587048600363588,72000.5
2.08011094495139,-0.11440274725805238,72300.5
3.7927968351394425,-1.9796241047217513,72600.5
4.451350783654525,-0.24827132771317145,72900.5
4.875050354407415,1.7946427668546479,73200.5
5.719088885622953,-1.3185403756495084,73500.5
6.243523883515862,-2.7858610200758136,73800.5
3.914418733822508,2.592610371407208,74100.5
4.339870476466095,1.469283410668607,74400.5
5.421749301362017,0.5153350362513803,74700.5
4.395994612162307,1.296406171700021,75000.5
5.431020309319864,-0.1393587666396248,75300.5
5.024911534310043,1.2819074381778583,75600.5
5.481012835516953,-1.905916756165088,75900.5
3.170225483631297,-3.6281479538970274,76200.5
4.076542452935698,-2.685119309101188,76500.5
4.628848978316634,-4.015751594251622,76800.5
5.339825681585755,-4.786725692712558,77100.5
5.661999870225885,-4.177837507753578,77400.5
6.317202299751014,-3.4072295221164213,77700.5
5.881721520193288,-2.057692401581973,78000.5
6.297014639596001,-4.23837851428276,78300.5
5.157671485140866,-1.7526737958974343,78600.5
4.8406960920498046,0.0412823182656853,78900.5
6.39333118360855,2.1923479773999506,79200.5
6.0066552163081255,3.369507370531452,79500.5
3.8325799240941114,4.298771891795784,79800.5
4.643437981072846,0.011331375062573302,80100.5
4.15408207155396,-1.790254182446951,80400.5
1.7701716595317496,0.34547309222398803,80700.5
1.525180365964005,-1.0477426817452837,81000.5
0.15263406275409036,-0.2079173602736127,81300.5
2.3708204909924113,-2.7448254970989963,81600.5
4.079251683612963,-0.4710271630287337,81900.5
4.036867377248653,-1.2050078383298974,82200.5
5.568761973146257,-0.8987840126178445,82500.5
7.303560688906704,-0.11848671078253249,82800.5
5.55265348700027,2.9918211242558788,83100.5
6.823578611711939,5.923017567357394,83400.5
8.14925173883504,5.0328966746132195,83700.5
8.692882052385956,6.4804490287420835,84000.5
9.463945593830116,6.23352790649408,84300.5
9.729236085752927,7.302304968894225,84600.5
6.312174031572066,5.286545592737569,84900.5
7.939076729925662,1.8712519512279486,85200.5
7.5799561483663425,-1.368249986690078,85500.5
7.216033146095841,-0.8504767698282517,85800.5
7.469176707949378,-0.2431923326033324,86100.5
5.792680465700413,-1.674131857208497,86400.5
7.3748859684099966,1.6865382148142953,86700.5
8.88155785627703,1.6717165150911912,87000.5
10.261127706700362,3.7093602071977063,87300.5
7.090315623266926,6.240123387593421,87600.5
9.55974927630606,2.8232944682302588,87900.5
6.633360792764113,8.486188471188383,88200.5
6.1468221443492235,8.419904515545056,88500.5
4.415307739503202,6.255529056221705,88800.5
5.914954548092,4.078733624488152,89100.5
7.921998107601789,3.6685769404379904,89400.5
5.190355683870592,2.627836258043018,89700.5
3.464093298992879,0.18566669146579173,90000.5
4.19903631542711,0.18050861861872797,90300.5
6.136007331188545,-3.8813862367736545,90600.5
4.157474767671432,0.26699707496607544,90900.5
4.800784786648193,1.0106609786887661,91200.5
3.5514518447756527,4.052226607919597,91500.5
4.931566263471354,5.289808626193993,91800.5
4.1273271027073255,5.135385138337583,92100.5
5.212278088696981,5.131721652229261,92400.5
5.92173026598057,1.0794879569878586,92700.5
5.622342140942535,2.660479397495244,93000.5
2.946208796345041,3.263055030854888,93300.5
2.458244089360443,4.856596120730287,93600.5
3.928724514569773,4.97555506459779,93900.5
5.17212064931718,-0.8277364838720689,94200.5
4.470107910030116,-0.511134271888593,94500.5
5.551895748929818,-1.1415440594662345,94800.5
5.938172346105539,0.18573107854742177,95100.5
4.101058746865777,0.3406826638926719,95400.5
4.502345052815969,3.108212606504957,95700.5
6.545460251311687,2.5945257099295214,96000.5
7.891155900475993,0.46872121522036914,96300.5
8.251529807495434,0.055881015797922436,96600.5
10.094710413006695,-1.1161372336645115,96900.5
9.857179096115704,0.8408256057867345,97200.5
9.648559367399798,0.8968672284168981,97500.5
8.99083108195605,-0.15084567358035814,97800.5
9.525833105498268,-1.795410762895692,98100.5
8.503694141968484,-3.458525385830437,98400.5
9.51339987221375,-5.373274591695598,98700.5
8.423052835668075,-8.406260758064555,99000.5
7.935227582314286,-8.899728394233968,99300.5
9.07165017373091,-9.650269480033886,99600.5
6.229374847883108,-9.842153678921102,99900.5
6.064398275502041,-10.757845424507096,100200.5
7.179836896411025,-12.61044996319051,100500.5
5.566086876544889,-11.165361718478438,100800.5
4.7134030295299,-9.695464997932286,101100.5
6.944746305215485,-8.136240525488473,101400.5
6.951356059682594,-6.613789800081637,101700.5
8.27773448187264,-1.36597525465282,102000.5
8.961902941075486,-1.1890162445174022,102300.5
6.709629480994189,0.2672739912512125,102600.5
7.757378292206925,0.8681608295124477,102900.5
8.640707549625468,2.433887816708021,103200.5
7.969040626138688,4.203301128536464,103500.5
11.667868310726963,3.61148864867972,103800.5
10.98501470315642,2.9002672979889947,104100.5
10.653970155301188,1.4453066946775055,104400.5
10.230166990649087,-0.9711413938889799,104700.5
6.74506303279059,0.8591489900389109,105000.5
4.588224160024038,3.0470749110666278,105300.5
5.260295111282186,4.78302038772777,105600.5
7.447641518655092,1.6436124581671057,105900.5
9.351668182788957,0.7725368368127967,106200.5
10.83592238864516,3.970237395137292,106500.5
7.732331208822839,1.4791449582374832,106800.5
9.224180773162054,3.1983978623664804,107100.5
8.476662184669179,3.4851119608938466,107400.5
6.4260079454463455,6.962656653668706,107700.5
8.275041198231701,3.278794156296358,108000.5
10.10413726363516,-1.202785800190421,108300.5
9.746754652464075,-4.605863754891711,108600.5
11.295341911320826,-0.9115866290482744,108900.5
7.759769894795258,-1.2243367155323384,109200.5
6.927595698948566,-5.042147364583466,109500.5
9.35483875993205,-2.019433257826396,109800.5
8.874257024526656,-4.317953756520789,110100.5
7.848681176379394,-4.407289094119402,110400.5
9.942049969162081,-6.600889810070331,110700.5
9.976386736454577,-8.876754759266838,111000.5
10.203944657541097,-3.862548346571925,111300.5
9.990111420881371,-1.3465579334484479,111600.5
5.59412620297303,-1.2215305662186229,111900.5
9.311971348820204,-0.8683944930215708,112200.5
9.798055457595062,-3.028738922453333,112500.5
8.307142030058017,-4.068747329455179,112800.5
10.001154956211582,-2.0989979936594807,113100.5
9.63525336288144,-1.946158492282925,113400.5
9.978790064266603,-1.0782105666489923,113700.5
10.403348188469655,-1.440850472149104,114000.5
8.26636696278996,-2.326484323745405,114300.5
8.613290290370719,-3.4727488715024903,114600.5
10.49423476117765,-4.5154924838359385,114900.5
8.782807609703926,-2.481206681582812,115200.5
8.726466202897512,0.04862624950309107,115500.5
9.387658279499446,0.5416878729748505,115800.5
7.865562818184659,-1.5446440048986971,116100.5
7.05633698240279,-0.8927924470579031,116400.5
7.0834004184235,1.2182569592387207,116700.5
7.00731388013675,1.9176318381884112,117000.5
8.709627284291807,0.8146496399966904,117300.5
9.334666266759143,2.939185025782665,117600.5
9.994921015067632,3.4045961433272383,117900.5
8.888303376819854,3.2126925485369666,118200.5
8.693598792075221,0.8746878792598155,118500.5
