window_index,window_center,spectral_entropy,mode_1_variance,mode_2_variance,mode_3_variance,mode_4_variance
20,7500.5,0.9844082783031727,0.7293820691811529,0.12697962975739657,0.05233851126758444,0.0381358309791276
21,7800.5,1.169463453964556,0.6278982132294013,0.2021061843162781,0.06683464242001833,0.041308273770727655
22,8100.5,1.2140008573518861,0.5953559256101512,0.22871775464820313,0.07363404410800173,0.039766254367630954
23,8400.5,1.2655947007372408,0.5876383002951591,0.21478992505654196,0.08062347123180102,0.041424767293111994
24,8700.5,1.267578243709891,0.5846949207007808,0.20865583002445032,0.09607998392584188,0.042404153216765716
25,9000.5,1.236591121009202,0.6254588629923933,0.15002090791294187,0.10518113472445637,0.048516250088409825
26,9300.5,1.2764207678055075,0.6142454905608985,0.14825640380565247,0.1064630440555651,0.05174709965600604
27,9600.5,1.2997099634588687,0.6118206605683881,0.15454004142710756,0.07782856714917974,0.06460687300411531
28,9900.5,1.2582509849362615,0.6263911248499497,0.15843755149797584,0.07583394438909045,0.050196160309031373
29,10200.5,1.2767145324138789,0.6129154227852074,0.1575141807233952,0.09570894312952294,0.04781673511358092
30,10500.5,1.3562118584596543,0.55087310221615,0.19949596074607728,0.11344415712152991,0.05952284407911165
31,10800.5,1.393549649165747,0.5276562392982596,0.20810124174594935,0.11972090297002298,0.0636051796066841
32,11100.5,1.475567404503074,0.47908890461387804,0.21737841320376225,0.1329855658034638,0.08541834467998138
33,11400.5,1.5607357974211253,0.39228078902164526,0.2654083044292861,0.15242667731507734,0.09460005547120037
34,11700.5,1.5044043399858504,0.4273814221049378,0.2584204523853411,0.15577629723137518,0.0752755930764649
35,12000.5,1.4619472035966767,0.49960507926930187,0.1763853515491912,0.14717071753151534,0.09196494540990714
36,12300.5,1.392317349687585,0.5525689653479967,0.1515087180296166,0.12848518256450558,0.07727697509968597
37,12600.5,1.3218910591588937,0.5890984874263318,0.14842739819194326,0.1197567339862774,0.05433121446453526
38,12900.5,1.2780234680819935,0.593692446757001,0.16884377726480734,0.11712335773402263,0.05490542191857266
39,13200.5,1.2639854361446567,0.5893622361099328,0.18965777680461116,0.11007602803453559,0.051899960012774395
40,13500.5,1.3044653378243112,0.5530703043802621,0.23242663696699256,0.09415003571827973,0.05049680280459646
41,13800.5,1.2782181109563466,0.5632563604776357,0.234596294344036,0.08559096157780784,0.047833062087461256
42,14100.5,1.2961180773617968,0.5517969992766946,0.24108831365284483,0.08291035401800498,0.052214792229329406
43,14400.5,1.317990692606363,0.5259825901466305,0.2680343969043754,0.07983164652369872,0.0523769151456384
44,14700.5,1.3362351318609673,0.47286181849803016,0.32901336383794577,0.07005105056122535,0.05212345202984923
45,15000.5,1.37551525278547,0.4170013271457988,0.36417035968506256,0.0931406507978956,0.05375641038392858
46,15300.5,1.3584693915204,0.4876334826398253,0.2956031999008783,0.09344035610650604,0.05364008586174029
47,15600.5,1.3209232762007599,0.5457341152253704,0.2432902251853249,0.08245005834830928,0.05142149413852698
48,15900.5,1.3349334655480367,0.5722217336696492,0.17997210447915077,0.098366677810615,0.06311846468217722
49,16200.5,1.3574298964428102,0.582527161925669,0.1288014208158929,0.10824871372284306,0.07762348949940738
50,16500.5,1.409964737271116,0.5531163981053729,0.1383124950974726,0.12486117020202395,0.08387947734286225
51,16800.5,1.4309037162983893,0.5398335664174859,0.1657259211730799,0.11669016021936683,0.07639932220631707
52,17100.5,1.4564608295451662,0.5194098103953353,0.18202245106050013,0.11313908831101657,0.07357267607309718
53,17400.5,1.4861085822419229,0.48271128284829073,0.22669727968011696,0.10415633751590286,0.07578015018601808
54,17700.5,1.550941800969615,0.4238323418796718,0.26676472759738074,0.11145722747085594,0.08143473179698806
55,18000.5,1.6222902390243639,0.3335859519622902,0.32680265269134784,0.11788739731348681,0.09317216886335102
56,18300.5,1.575554140590075,0.41099416174480113,0.2656111919491203,0.11027874004038078,0.09740200625734143
57,18600.5,1.4642232088932599,0.49861404373981644,0.22003518997701074,0.0987617486719815,0.08630211879681604
58,18900.5,1.3764420948746996,0.5584566762251923,0.18609702614823653,0.09542587804645684,0.06906837445633844
59,19200.5,1.3432221085600482,0.5755793455307783,0.174331993064341,0.0993246392070408,0.06586748229377413
60,19500.5,1.3204398190907147,0.5900073044832145,0.15900703828611543,0.10051630932079725,0.07376860287705155
61,19800.5,1.2743205527567982,0.6117974439499095,0.16188906417857615,0.09861379226606765,0.047124737386794936
62,20100.5,1.2247851076679375,0.6241699267361392,0.16955780840495951,0.09164653311327742,0.04489647168012514
63,20400.5,1.2589687899439512,0.6110773942395062,0.16853305847723382,0.09446553368300364,0.053664344431361706
64,20700.5,1.299685512256163,0.5911538601021665,0.18274920347401977,0.091173424600042,0.05375963215305778
65,21000.5,1.3670801594018263,0.5604785883853898,0.20030040457191384,0.0852549102328659,0.061040823627908414
66,21300.5,1.4050523181169887,0.5330503668753197,0.2117651350668533,0.10047303905281721,0.06309958948532728
67,21600.5,1.460018942208396,0.49373828663326863,0.21726578752322154,0.13526312803656787,0.061062869787490655
68,21900.5,1.409015501071943,0.5051941764334964,0.24161094379603415,0.1186497790991775,0.045249463125950795
69,22200.5,1.3627752061435137,0.5240192392842388,0.25155555567147947,0.09525345642774848,0.04300298940348746
70,22500.5,1.3045596840508584,0.5724392962206503,0.21386415507602763,0.09117080208566082,0.04564975463731139
71,22800.5,1.2551393989322066,0.6170404695898155,0.16381722979648003,0.09687464364100605,0.04452283840987907
72,23100.5,1.1530803660387487,0.6737186992311993,0.1196613791981368,0.09276456861606647,0.04337917645654781
73,23400.5,1.1110554223876672,0.7014511608679851,0.0975162999554226,0.07779306848961676,0.04834659997924366
74,23700.5,1.139580236506617,0.684314925923205,0.11628204462255314,0.07977387496899079,0.04465679671813467
75,24000.5,1.1534464670456361,0.6735255486057624,0.12765581524887995,0.07956374313258727,0.04525471258167756
76,24300.5,1.2053312518482078,0.6498105046442663,0.14313408668538494,0.07557890193929012,0.04635683496892677
77,24600.5,1.3223255554751283,0.5925799449571603,0.1495177133437382,0.1079536246057836,0.06121394199612558
78,24900.5,1.3592441442261491,0.5459637398329132,0.20112404912776352,0.12077831195142034,0.04523065453507626
79,25200.5,1.3262617857084273,0.535690188939226,0.23122221641982546,0.12230483448157664,0.04401442570875113
80,25500.5,1.2975097445056951,0.5544064954710879,0.22864214506710842,0.10904269664593069,0.037191858736682695
81,25800.5,1.3214406594490344,0.567016508028926,0.20037798091369916,0.10083098313054817,0.05227925211082938
82,26100.5,1.2836892115989995,0.5948838318158302,0.1911115021426978,0.0707193676975631,0.0628426052475139
83,26400.5,1.2896512122856634,0.5912003200447584,0.18687500100185825,0.08475947511684992,0.06141725999463836
84,26700.5,1.3204864512321992,0.5819539562483365,0.16128216090602568,0.12121172460162563,0.058916052388495316
85,27000.5,1.268903210750527,0.5911335904000906,0.19050561631213017,0.10035220644627803,0.04837954603563903
86,27300.5,1.2509826449824983,0.5885242150478889,0.21838135038475687,0.08219707775315398,0.042173074857170145
87,27600.5,1.2632984995204337,0.5598641640383362,0.253551036864945,0.08007667800179473,0.046935675393290376
88,27900.5,1.2890603357337511,0.4839554590772516,0.33958370984007674,0.06684531011252949,0.05348951389930287
89,28200.5,1.316382089394419,0.44000954477553383,0.37740944345288435,0.06766783759161096,0.05409855127741247
90,28500.5,1.3529796529844074,0.4150171724382433,0.3904314170481317,0.07248615190479028,0.04997200924436627
91,28800.5,1.3989078947238263,0.4355521686594959,0.34579346453755416,0.08997495538439834,0.04668630097472257
92,29100.5,1.3937455180233318,0.46997612443437364,0.2998706151772589,0.10743714515190064,0.04330126867188275
93,29400.5,1.4034887632531021,0.49843135871922106,0.254209287495494,0.11538745735033215,0.04583866193899095
94,29700.5,1.3805390258093952,0.534542309462712,0.21285377804639255,0.11860693386350575,0.046844269772668076
95,30000.5,1.3786811028710262,0.5510023214406929,0.20482156834364518,0.0886259898842202,0.05597773679647806
96,30300.5,1.3532370837439307,0.5564585277362012,0.22448625874829212,0.07116575629289447,0.04960648088682475
97,30600.5,1.3813726913073558,0.5488645771871434,0.22203392586546672,0.07524292696668226,0.05054849582634513
98,30900.5,1.455236312570138,0.5036982752460857,0.24011264613718775,0.08893679628450903,0.061056948707019505
99,31200.5,1.5371488068996764,0.42924914051083163,0.24676266558630705,0.15945681811114995,0.06659942731967018
100,31500.5,1.5626920044805082,0.35858314801368146,0.2573679367935409,0.23443404962440256,0.05886758034427327
101,31800.5,1.5243567398593818,0.34353461213238023,0.3421437079849117,0.17457449838426886,0.05169736712202276
102,32100.5,1.4764783305846316,0.3946978162415153,0.3393875858288205,0.12932195045166323,0.05006350271474115
103,32400.5,1.4881831467024098,0.40361356528211906,0.3227394451280764,0.12046646246808271,0.07192068440244101
104,32700.5,1.4981413231235492,0.4238864278730569,0.29229232454956094,0.11550402659853976,0.08579490032788537
105,33000.5,1.5103767092974745,0.4293761640024303,0.27403015634486055,0.12662628275892063,0.08086557981081044
106,33300.5,1.503819424677288,0.42729921031211127,0.2625532863903183,0.15041110090189655,0.08122759790423698
107,33600.5,1.4812119102397592,0.43364275831772453,0.2524869192929957,0.1643974607848168,0.07874517944702168
108,33900.5,1.447585741062329,0.4891121304852083,0.22037820326817836,0.13231483219238818,0.07873037761334124
109,34200.5,1.450355355150263,0.48643483239560453,0.2401525922768786,0.11463356509573154,0.07110573856615379
110,34500.5,1.4519670253918522,0.45315920241632535,0.2856216269335212,0.10981455734146091,0.06455925212505123
111,34800.5,1.4705745418038565,0.39045819271495136,0.3463983647410884,0.09720393124430542,0.08398751656733668
112,35100.5,1.4906652942400993,0.3797653581503029,0.32560212486242274,0.1299013733387522,0.09049524012326701
113,35400.5,1.5099342154140971,0.3887705406464559,0.3032045164633972,0.1435457150205505,0.08675509108369382
114,35700.5,1.5271511324284592,0.4042110106077553,0.2787104852172718,0.1434172169790308,0.08758281351260135
115,36000.5,1.4839328220375922,0.43311797242468814,0.3023178143333094,0.09517291699444072,0.07232287335524704
116,36300.5,1.4460720187724534,0.4524516691536336,0.29744220541140987,0.10355556400416999,0.05103961087122184
117,36600.5,1.4378937569144907,0.45713806050573036,0.297455502349009,0.10288709590576882,0.04752849762276824
118,36900.5,1.4066035081303079,0.44745223842105947,0.33115058430548927,0.08672650073662734,0.04252985967385945
119,37200.5,1.4063699383912738,0.445164255766329,0.32896827933887485,0.09531982916636757,0.04642372032613868
120,37500.5,1.4010724709398434,0.4744419919287835,0.29732261541681304,0.09719123291706482,0.04186252167926753
121,37800.5,1.381371785507194,0.5249503495430217,0.24593097183588053,0.09063858531658114,0.04368062264134993
122,38100.5,1.3669982330880037,0.5409638427857776,0.2344376418248731,0.07968809248071583,0.0515255923442313
123,38400.5,1.3777245499846547,0.5464706516656769,0.21542699890203937,0.08484204322107641,0.06239403358730992
124,38700.5,1.4243016891929883,0.5174516819629519,0.20577876955450108,0.12869105690598406,0.061614143484380504
125,39000.5,1.4356034114761873,0.488466213549297,0.21994038339859948,0.15453589930206754,0.058957273329016915
126,39300.5,1.452009120456935,0.45681659746499437,0.25830151126316625,0.1496769469921836,0.058067311056665696
127,39600.5,1.4438283660272295,0.44217620650843786,0.30239760859912584,0.11637471427503017,0.06169130412256715
128,39900.5,1.325267964558122,0.49872407483931236,0.3116207256208842,0.06649731860178833,0.05326688381479204
129,40200.5,1.2513640143385996,0.5551644541044166,0.27671108878489714,0.05563371113960676,0.04700756689666396
130,40500.5,1.207661401267427,0.6018446296185053,0.23192008451099544,0.0567035703797393,0.045780149499666155
131,40800.5,1.191220532386518,0.636660922015715,0.17622972968351336,0.07492358668578408,0.048224411369850034
132,41100.5,1.1575401574072801,0.6597664168265882,0.13236979792996836,0.10096696304531103,0.050032219074671834
133,41400.5,1.1383126593662145,0.6602931959688063,0.15508892037359065,0.09226088778996651,0.032697302582710856
134,41700.5,1.1319329042410788,0.6534374671773258,0.1831008779778906,0.07395029118690666,0.029983720122790297
135,42000.5,1.1276318445872455,0.6433305758799504,0.20490653039522952,0.0628003191208658,0.030256359330586038
136,42300.5,1.1628055143631553,0.6266945968252984,0.21403575623180165,0.06157598763014985,0.03524995257997444
137,42600.5,1.2329919824665034,0.5987066469150806,0.2209665095843565,0.0611175702532297,0.04588782900654207
138,42900.5,1.3725295159068884,0.5234162956637896,0.23567029003184772,0.10498389786963584,0.058468002974961464
139,43200.5,1.3838121839742066,0.5110547925711063,0.22634305991829393,0.13305772711547892,0.05808446341635519
140,43500.5,1.357962756571166,0.5352249103702517,0.20373125487820928,0.13933789445345718,0.05102441665643682
141,43800.5,1.2972586194618456,0.5948007471968079,0.1576770641143504,0.11922625501481175,0.052459313346207515
142,44100.5,1.2682920071207249,0.6024218379505383,0.1831537675601958,0.08355042892982974,0.054793610112405994
143,44400.5,1.2128967243686484,0.6234520880787352,0.18935324111887994,0.05709313545369346,0.05413019440347469
144,44700.5,1.121392865035091,0.656962681855907,0.1848762189451921,0.054497692136465874,0.04318054468747552
145,45000.5,1.0705816166883282,0.6758648197372151,0.18149968258402668,0.049794508205667304,0.039533691083304165
146,45300.5,1.0416464992084526,0.6934330359490593,0.16723284325603438,0.049852163233174276,0.04340513761721854
147,45600.5,1.0819634566662537,0.6912168916087864,0.14263398590374138,0.06799150199344937,0.04655827489729264
148,45900.5,1.1208135130146986,0.6750493609967999,0.14091796710926452,0.08740867136477523,0.04218513865480781
149,46200.5,1.1535877008758513,0.6493420847623411,0.17804741516041048,0.07060488297633845,0.0464113847388393
150,46500.5,1.189429006758728,0.6108913727066388,0.2216977343513955,0.06627229230001723,0.042683170264283976
151,46800.5,1.2332270609763616,0.5858614291779394,0.24191928301546894,0.0578427101380741,0.04178565831813561
152,47100.5,1.2126680748258583,0.5629474443268044,0.28011420138019527,0.059558931730563563,0.04263378426085291
153,47400.5,1.246642384552954,0.5656654021059603,0.2577369197405322,0.0675353678361576,0.05037206134757857
154,47700.5,1.319225208924115,0.5334388595525859,0.24895636840454655,0.10506034844124941,0.0526463258350908
155,48000.5,1.233812823645942,0.569089555885276,0.2530657386192442,0.07348594990520292,0.05230339047353088
156,48300.5,1.2198478476106918,0.5667005585773508,0.2632265473117569,0.06500637497024268,0.056673301142653655
157,48600.5,1.2658944014443496,0.5512121160572417,0.2618092455408485,0.07046483853504544,0.051301160438137934
158,48900.5,1.3018216804491631,0.5167053398049789,0.28822538630369354,0.0756053179042037,0.05262988875274452
159,49200.5,1.2930295247119599,0.4905462694471662,0.32679748034745987,0.06442264633765978,0.05131439926942737
160,49500.5,1.3114295588323095,0.460468068807556,0.3543036625598846,0.061695878611560846,0.05453407168330086
161,49800.5,1.284564117265686,0.4614535996026795,0.36808985066054933,0.061333754117227746,0.04532534527628049
162,50100.5,1.2705074944350374,0.4750420864611336,0.3586233323526814,0.059981381883596425,0.04434674520102926
163,50400.5,1.2500130254921646,0.48592875674352226,0.3540875434142867,0.06009722257659114,0.04623712386609976
164,50700.5,1.3132660755558758,0.5068991227956968,0.3007819363502018,0.07521886055645803,0.05249308498739764
165,51000.5,1.2492654351794596,0.5836285903640533,0.22717113390393523,0.06862023482227735,0.05505337901378267
166,51300.5,1.196515857274147,0.6152210164990704,0.21387541085815262,0.059552438194469856,0.04468809687566887
167,51600.5,1.1843984433064576,0.6318395629500478,0.18644465079411807,0.07814710790775162,0.039884657565102
168,51900.5,1.193774870792978,0.6405163731616684,0.15887561810098638,0.09228927161821629,0.04032696037526744
169,52200.5,1.1677181362659061,0.6627249311208672,0.13664488813557776,0.09077853913367946,0.03825497981124767
170,52500.5,1.184210783365281,0.6569176313716926,0.14109590274678954,0.08546096792785557,0.04297702847738134
171,52800.5,1.1850959694985437,0.660976982753752,0.13647768232271554,0.08020151789517471,0.04514036715154893
172,53100.5,1.2066283698626996,0.6500842590166471,0.15409185803309608,0.06639440332157888,0.04385761847119291
173,53400.5,1.180592178246692,0.6584669561847312,0.15032122578444976,0.06777973846750365,0.0453298760044103
174,53700.5,1.2636054637321101,0.6148873579232736,0.15270028690358933,0.1076774806316822,0.046331012900950874
175,54000.5,1.3701300629131437,0.550430830314286,0.18283337076515405,0.13021541304331216,0.052124936249968695
176,54300.5,1.4559420807121626,0.5143063119998516,0.19431876832299586,0.12662364401689727,0.06652482630186791
177,54600.5,1.519110839060557,0.48720321559022606,0.18219483265608621,0.12433662977557083,0.1041298923254199
178,54900.5,1.4917359576493883,0.5222483422505648,0.14034316192937588,0.12132132350099475,0.10334073387276367
179,55200.5,1.463865913584713,0.5339352688658401,0.13566530335197532,0.12172741832963546,0.10354584851194769
180,55500.5,1.4881785144665034,0.5086282074366725,0.171585514855541,0.11566584838787679,0.10135954318914633
181,55800.5,1.5090481312728063,0.45864734444396915,0.24901372635049882,0.1019886738719184,0.09402172777379976
182,56100.5,1.499634553629288,0.44503025633683163,0.27448332798349423,0.09647834093385814,0.07647924769236335
183,56400.5,1.510780394315844,0.4323374054583957,0.286648312880141,0.10491344567918377,0.06863505991145416
184,56700.5,1.514766315931403,0.443685147019649,0.27376032625038804,0.10127821595528366,0.06619402496418242
185,57000.5,1.49613112949468,0.46362852121740034,0.24457444098222814,0.12557638320898978,0.058423437277686674
186,57300.5,1.504179855556018,0.45954065141590256,0.21317553929903135,0.16683428854115992,0.06304583116489561
187,57600.5,1.4944533794208694,0.45138266710112657,0.2606085274623586,0.11673269717041797,0.08042813538559773
188,57900.5,1.3992965241759074,0.463357804459271,0.3010559289729405,0.11486148787264538,0.04665713508880658
189,58200.5,1.388912850108396,0.4556302006699035,0.3175608046538233,0.10960973758721403,0.042559260660215995
190,58500.5,1.3843918005102243,0.4562738823003327,0.32384863574716694,0.09669288227966374,0.046120485620079074
191,58800.5,1.3901483520366031,0.4395739126973434,0.34345224283484094,0.08681763361377706,0.053994711271012075
192,59100.5,1.3808908537769111,0.45408656059486574,0.33097279162907234,0.08002340106133299,0.05933481587764391
193,59400.5,1.3618670709111862,0.472529031398954,0.32203100689295366,0.0770365043554332,0.054002821200650405
194,59700.5,1.3538165442064525,0.501311957146266,0.2940111257761783,0.0797291178192793,0.04120291668549525
195,60000.5,1.3445391931795052,0.5244848568239536,0.2720566915796977,0.06927318788862862,0.04726503292319151
196,60300.5,1.3826017950647382,0.5295862203186873,0.24681320311443852,0.07653286061241306,0.04666174649599369
197,60600.5,1.41306667859486,0.5328971734223404,0.2119168231043181,0.09944013202740007,0.05204039453277634
198,60900.5,1.3766146505504895,0.5675880221606752,0.1770247761495023,0.10227997277118411,0.05302490764137596
199,61200.5,1.3524095933115658,0.5887135563729183,0.15700106876985112,0.09805354023680916,0.053867186280330194
200,61500.5,1.3588645848134224,0.5953094612104838,0.13480965373894405,0.08865224114217383,0.07231490151615781
201,61800.5,1.3798111888999842,0.5672887384396935,0.1738374034363631,0.08948149403906723,0.07704880318450934
202,62100.5,1.3740217701351989,0.5464702676998408,0.21245205094094058,0.08482918527223716,0.07287080979909892
203,62400.5,1.3897995869316784,0.5312470065402862,0.23140104743977552,0.08337349937504579,0.05918834822805676
204,62700.5,1.3663464186699228,0.526573151127672,0.25254778001160244,0.08582810762069505,0.04560077539712954
